exporter,importer,year,trade_value
CHE,ZAF,2022,10466083739.475464
CHL,ARG,2022,10180233080.929848
CHL,BRA,2022,11028636432.185818
CHL,CAN,2022,5621627287.703752
CHL,COL,2022,5892347186.618762
CHL,ISR,2022,15982284297.58244
CHL,MAR,2022,18337373377.502686
CHL,MEX,2022,8322013196.91621
CHL,SAU,2022,30283660098.37986
CHN,ARE,2022,10373887840.061522
CHN,AUT,2022,28250135263.13828
CHN,BEL,2022,34848788585.016045
CHN,BGD,2022,87296352564.08893
CHN,CHE,2022,36911405303.843376
CHN,EGY,2022,1249314182.3846347
CHN,ESP,2022,14389258083.882946
CHN,GBR,2022,20650498478.268795
CHN,HKG,2022,35760293289.327385
CHN,IDN,2022,14847471741.266384
CHN,IND,2022,9913129159.96616
CHN,ITA,2022,109837266202.18356
CHN,JPN,2022,19333535374.226215
CHN,KOR,2022,12617349262.01659
CHN,NGA,2022,132071079535.43613
CHN,PHL,2022,20614262727.568752
CHN,POL,2022,9959853250.383064
CHN,SGP,2022,8363454422.314422
CHN,SWE,2022,9561182244.449017
CHN,THA,2022,118592980312.388
CHN,TWN,2022,17575772652.738537
CHN,USA,2022,49229031380.46831
CHN,VNM,2022,7524545061.640888
CHN,ZAF,2022,9583001507.27998
COL,ARG,2022,14985812956.969265
COL,CHL,2022,29387875734.166367
COL,FRA,2022,5538043565.257811
COL,KOR,2022,5702288962.18624
COL,PAK,2022,6987741469.780298
COL,PER,2022,7739483545.728281
COL,SGP,2022,28490372446.967663
DEU,ARG,2022,2824020485.0508747
DEU,AUT,2022,92138391966.82419
DEU,CHE,2022,16177916910.074245
DEU,CHL,2022,9152624269.344141
DEU,COL,2022,7584821085.830143
DEU,ESP,2022,1186541335.8021095
DEU,GBR,2022,6372098025.198163
DEU,HKG,2022,5417039126.827781
DEU,IDN,2022,22135078588.630802
DEU,ISR,2022,15492488757.651352
DEU,ITA,2022,5349198073.101171
DEU,KOR,2022,1200959755.6151185
DEU,NGA,2022,53276102929.63604
DEU,NLD,2022,2504438590.665125
DEU,NOR,2022,7094504562.129983
DEU,PAK,2022,2584722667.0125165
DEU,PHL,2022,6018580230.016743
DEU,POL,2022,4656545753.047636
DEU,QAT,2022,2234052790.4778256
DEU,RUS,2022,23728941663.58456
DEU,SWE,2022,5668917670.371388
DEU,USA,2022,4664705352.0938425
DEU,VNM,2022,7030271004.484712
EGY,BGD,2022,6248031865.63547
EGY,DEU,2022,1612737742.9817295
EGY,KEN,2022,8282995399.367921
EGY,LKA,2022,24102593755.897068
EGY,MAR,2022,18655190825.6719
EGY,MEX,2022,9033908162.445087
EGY,NGA,2022,21221440766.68175
EGY,VNM,2022,30403069045.38057
EGY,ZAF,2022,9095284286.226349
ESP,AUT,2022,6362380862.267111
ESP,COL,2022,8251076704.507407
ESP,FRA,2022,22957352389.10904
ESP,ITA,2022,37722764355.06231
ESP,NLD,2022,6242655385.57683
ESP,POL,2022,75167291043.69737
FRA,ARE,2022,9189710941.978203
FRA,AUS,2022,15576541225.218529
FRA,AUT,2022,2739466745.7742133
FRA,BEL,2022,27301329618.516407
FRA,CAN,2022,13310863016.852018
FRA,CHE,2022,3129059566.297958
FRA,COL,2022,19245420717.951828
FRA,DEU,2022,24943253303.61345
FRA,ESP,2022,6675831560.56738
FRA,GBR,2022,43315148393.75331
FRA,HKG,2022,12808344039.708555
FRA,ISR,2022,2299838309.6385064
FRA,ITA,2022,5857222030.051652
FRA,MEX,2022,46303080838.49811
FRA,MYS,2022,47354342055.63864
FRA,NLD,2022,10600680912.5488
FRA,PER,2022,9390443008.93539
FRA,PHL,2022,25875400970.192604
FRA,RUS,2022,10368165535.930876
FRA,SGP,2022,16806978043.390192
FRA,SWE,2022,7651929128.215793
FRA,TUR,2022,2963947713.901506
FRA,ZAF,2022,7312464261.7406845
GBR,ARG,2022,14974872164.916101
GBR,AUS,2022,2309179485.256889
GBR,AUT,2022,1836466861.5854564
GBR,BEL,2022,29925952060.69956
GBR,CAN,2022,4375562482.308366
GBR,CHE,2022,3002650617.2446413
GBR,COL,2022,15344426731.417957
GBR,DEU,2022,68736183521.60751
GBR,ESP,2022,12550967518.993093
GBR,FRA,2022,2252973383.35895
GBR,IDN,2022,22146238992.254303
GBR,IND,2022,7551190858.563564
GBR,ITA,2022,73562166073.37225
GBR,JPN,2022,19506632048.629128
GBR,KOR,2022,27208944594.089695
GBR,MEX,2022,3062526473.1604266
GBR,NGA,2022,8158288742.724282
GBR,NOR,2022,6682637973.267545
GBR,PAK,2022,23974898894.41491
GBR,PHL,2022,8938038377.5707
GBR,POL,2022,7972274763.582859
GBR,QAT,2022,8155011503.8883705
GBR,SAU,2022,108254530228.85919
GBR,SWE,2022,18875207724.600803
GBR,THA,2022,3443779153.556343
GBR,USA,2022,4488381601.387172
HKG,CHN,2022,7638205063.195055
HKG,COL,2022,4767042299.713461
HKG,ESP,2022,5017940683.975775
HKG,FRA,2022,16381182073.36845
HKG,ITA,2022,19786334015.976864
HKG,JPN,2022,3518788285.884737
HKG,KOR,2022,7365068778.373726
HKG,LKA,2022,8353575375.474101
HKG,MAR,2022,14505194807.90519
HKG,TWN,2022,38729905856.05465
IDN,CAN,2022,26976733163.112247
IDN,CHL,2022,9070727620.79072
IDN,CHN,2022,22262168726.089985
IDN,DEU,2022,9307858248.789972
IDN,MYS,2022,4618812138.579384
IDN,PHL,2022,10479751424.828608
IDN,SGP,2022,440655698460.2347
IDN,VNM,2022,17759740597.80913
IND,BGD,2022,8720250127.853003
IND,BRA,2022,9314102767.116058
IND,CHE,2022,2875200872.7409735
IND,CHN,2022,11899612133.591764
IND,ESP,2022,9827346209.185266
IND,ISR,2022,3522885465.118256
IND,LKA,2022,14646155349.720736
IND,MAR,2022,14636869947.466843
IND,MEX,2022,13211094440.433144
IND,NGA,2022,11982957842.398165
IND,NLD,2022,53935583080.188225
IND,NZL,2022,16695629510.280972
IND,PAK,2022,31167473368.522358
IND,SGP,2022,6545637083.09005
IND,SWE,2022,5210156305.076324
IND,TUR,2022,8658698782.549793
IND,USA,2022,21780147298.81138
ISR,ARE,2022,7753339150.947881
ISR,HKG,2022,34136025667.90794
ISR,NZL,2022,10169118767.493898
ISR,QAT,2022,6669730136.954185
ISR,SAU,2022,21101395815.74047
ISR,TUR,2022,5092436859.462275
ISR,USA,2022,5715360873.65495
ITA,BEL,2022,1853926837.6322796
ITA,CHL,2022,6933197094.0542555
ITA,ESP,2022,6854941275.460329
ITA,JPN,2022,18338108273.573597
ITA,MYS,2022,14585136401.630335
ITA,SAU,2022,3086414664.4669175
JPN,BEL,2022,8537149256.312142
JPN,BGD,2022,14958393413.096378
JPN,CHE,2022,9530874228.121708
JPN,CHN,2022,41579502294.19397
JPN,COL,2022,4902739508.204629
JPN,ESP,2022,10953617900.161081
JPN,GBR,2022,15972919695.062443
JPN,HKG,2022,20166831645.716877
JPN,IDN,2022,6289234237.775536
JPN,ISR,2022,29645831198.57999
JPN,ITA,2022,37007159069.51525
JPN,KOR,2022,1619644584.283532
JPN,MEX,2022,10379512114.181246
JPN,NGA,2022,9495303426.17775
JPN,NZL,2022,28632398252.39404
JPN,QAT,2022,3820711732.1135755
JPN,SAU,2022,4531924810.270427
JPN,SGP,2022,4221996711.5866995
JPN,TUR,2022,51218759823.4795
JPN,TWN,2022,8178992965.183949
JPN,ZAF,2022,4380737447.1721115
KEN,BEL,2022,21713847106.322838
KEN,EGY,2022,28579903219.642048
KEN,ITA,2022,10446120970.299265
KEN,MAR,2022,9015498626.32289
KEN,NGA,2022,13520247205.96274
KEN,NOR,2022,13276711109.462305
KEN,TWN,2022,7129867571.291478
KEN,ZAF,2022,5457497873.024955
KOR,BRA,2022,2765056959.8945312
KOR,CHN,2022,13395564720.269524
KOR,COL,2022,13957869129.697945
KOR,EGY,2022,57585894073.27427
KOR,GBR,2022,22472477553.455013
KOR,HKG,2022,57105368608.60218
KOR,IDN,2022,72551281214.76703
KOR,IND,2022,7563157174.374994
KOR,ITA,2022,14101767030.135918
KOR,JPN,2022,12709817585.620525
KOR,MAR,2022,8731800312.339504
KOR,NGA,2022,2672909423.215169
KOR,QAT,2022,16606896031.78613
KOR,SAU,2022,11516418828.975565
KOR,TWN,2022,16937372891.306355
LKA,AUT,2022,7151038668.563988
LKA,BGD,2022,7664738045.159643
LKA,CAN,2022,8996210551.11604
LKA,EGY,2022,31572837612.140827
LKA,IND,2022,3702978098.0030694
LKA,PAK,2022,7148848023.578394
LKA,PHL,2022,24835275898.74081
MAR,CHL,2022,14329537122.6415
MAR,EGY,2022,33290359483.925156
MAR,FRA,2022,3642856025.7842236
MAR,KEN,2022,18692123083.5699
MAR,NGA,2022,26571082529.95125
MAR,PER,2022,14762181254.712751
MAR,POL,2022,59592812293.10073
MAR,USA,2022,9924696970.677841
MAR,ZAF,2022,29113934542.882145
MEX,COL,2022,52212521891.997154
MEX,DEU,2022,23691364210.108578
MEX,EGY,2022,19451609000.112007
MEX,NZL,2022,73202948371.64539
MEX,USA,2022,37760534182.030556
MEX,ZAF,2022,134300105146.05295
MYS,AUS,2022,2793033287.433133
MYS,ESP,2022,16969138496.54501
MYS,IDN,2022,8185124304.264694
MYS,KEN,2022,4524190245.518393
MYS,NOR,2022,137142063176.04451
MYS,SGP,2022,7436828079.180639
MYS,THA,2022,8305466326.970284
MYS,VNM,2022,4739588884.733083
NGA,BGD,2022,18709816303.024715
NGA,KEN,2022,15499099276.00586
NGA,MAR,2022,7670627502.690244
NGA,POL,2022,4568687010.38145
NGA,USA,2022,33380684153.51897
NGA,VNM,2022,46724548969.88761
NLD,ARE,2022,16041368201.107626
NLD,ARG,2022,7682203744.875376
NLD,AUT,2022,31165134690.404995
NLD,BEL,2022,8572813340.911589
NLD,BGD,2022,57279661115.33296
NLD,BRA,2022,19880763365.260845
NLD,CHE,2022,8010718690.098378
NLD,CHL,2022,2751816384.8880115
NLD,COL,2022,62445244611.78923
NLD,DEU,2022,6260547773.541693
NLD,EGY,2022,34346020568.77559
NLD,ESP,2022,6376172573.399444
NLD,FRA,2022,14471855795.732504
NLD,GBR,2022,17653886766.949944
NLD,HKG,2022,31541412947.413013
NLD,ITA,2022,64666585629.82411
NLD,KEN,2022,81269958534.24768
NLD,KOR,2022,1274225616.94547
NLD,MEX,2022,2646110909.406377
NLD,PHL,2022,33333978944.969154
NLD,POL,2022,7448128643.726241
NLD,QAT,2022,13380279428.873913
NLD,RUS,2022,46479693579.9545
NLD,SWE,2022,10310968591.455626
NLD,THA,2022,4837713760.196
NLD,USA,2022,9450618935.657099
NOR,CHE,2022,1271496839.9898858
NOR,ESP,2022,19349274591.171246
NOR,IND,2022,10108882219.567633
NOR,KOR,2022,2621442562.074709
NOR,MAR,2022,1135802102.1393263
NOR,NLD,2022,23458217471.34006
NOR,POL,2022,30047275385.883125
NZL,AUS,2022,5211893891.706639
NZL,HKG,2022,12714831090.3505
NZL,PAK,2022,6691155379.735777
PAK,ARG,2022,18207082179.6458
PAK,BGD,2022,468744417.9573607
PAK,IDN,2022,9185945395.056568
PAK,IND,2022,11080286329.840115
PAK,MYS,2022,14289108642.26659
PAK,PER,2022,15021757170.970617
PAK,PHL,2022,26174558605.71523
PAK,THA,2022,34995004266.38364
PAK,USA,2022,13516237279.302261
PER,ARG,2022,13213251454.014915
PER,AUS,2022,37449761506.69501
PER,CHL,2022,7248551533.512187
PER,COL,2022,3537457441.978466
PER,GBR,2022,1203268704.7941248
PER,JPN,2022,14563487942.065454
PER,MYS,2022,4171012132.2644253
PER,NOR,2022,37358618143.70241
PER,TUR,2022,7355622070.098558
PHL,CHE,2022,21087585092.21231
PHL,ESP,2022,11819917411.199291
PHL,IDN,2022,7791969578.072181
PHL,IND,2022,42447411915.61264
PHL,ITA,2022,6389509569.518686
PHL,PER,2022,21747659827.49581
PHL,SGP,2022,18403646108.95725
PHL,THA,2022,1894997419.0022526
PHL,ZAF,2022,39409262848.01157
POL,ISR,2022,5551200563.614481
POL,NOR,2022,5646623141.96423
POL,RUS,2022,130381912226.81403
POL,SWE,2022,1007465371.5328434
POL,THA,2022,47270130475.516205
QAT,ARE,2022,2832199661.280521
QAT,BRA,2022,5777966360.694414
QAT,ISR,2022,1370156130.4420907
QAT,ITA,2022,27762932624.37236
QAT,KEN,2022,24977325116.93209
QAT,LKA,2022,7800985572.672392
QAT,SAU,2022,19047368012.265816
QAT,TUR,2022,7617781980.137279
RUS,ARE,2022,18421320766.51107
RUS,BEL,2022,3639946870.515724
RUS,BRA,2022,19370391645.142925
RUS,CHL,2022,15236442855.596682
RUS,ESP,2022,3531731203.6929
RUS,TWN,2022,4915554046.19117
RUS,USA,2022,49018810034.04674
SAU,BEL,2022,44095480939.79844
SAU,CHN,2022,14538059802.289688
SAU,GBR,2022,15986600459.10061
SAU,IDN,2022,16162364932.674501
SAU,NLD,2022,67599083084.57372
SAU,QAT,2022,10927845284.679646
SAU,TUR,2022,7539052339.261056
SGP,AUS,2022,25699000263.458908
SGP,AUT,2022,33181383993.70042
SGP,BEL,2022,8333900195.689002
SGP,BGD,2022,19515056851.29353
SGP,CAN,2022,24913017990.021717
SGP,IDN,2022,10244932319.182709
SGP,IND,2022,22994927541.5331
SGP,ISR,2022,7803857297.721453
SGP,ITA,2022,3529194568.6151767
SGP,LKA,2022,45889959032.60134
SGP,MEX,2022,26125096810.9752
SGP,MYS,2022,43961036083.06233
SGP,NOR,2022,13034924188.95752
SGP,PHL,2022,8070644103.851239
SGP,QAT,2022,6569550437.722152
SGP,THA,2022,13911029386.925205
SGP,USA,2022,19234321435.12201
SGP,VNM,2022,22330586712.39841
SGP,ZAF,2022,4010888514.221219
SWE,AUS,2022,11703781437.878231
SWE,BGD,2022,4135890304.1288404
SWE,CHL,2022,7024288767.781108
SWE,EGY,2022,13604623423.309492
SWE,ESP,2022,47880649248.181335
SWE,IND,2022,8068128751.103174
SWE,ITA,2022,4154301385.7397585
SWE,NGA,2022,3123689004.207724
SWE,NLD,2022,20145724556.25035
SWE,NOR,2022,19657177252.18463
SWE,POL,2022,4132037374.4609294
SWE,ZAF,2022,16806649671.893076
THA,AUS,2022,17457786341.485455
THA,DEU,2022,8038893235.973535
THA,IDN,2022,3073148689.920957
THA,NOR,2022,2988752398.4705777
THA,PHL,2022,13369927551.543573
THA,SAU,2022,6029944053.736551
THA,SGP,2022,17650006547.518085
THA,ZAF,2022,3640596829.148572
TUR,ARE,2022,6879524936.44
TUR,BEL,2022,4150910190.402025
TUR,COL,2022,10507025758.942875
TUR,LKA,2022,10767452361.461975
TUR,SAU,2022,8622305129.956871
TUR,USA,2022,29388423817.18518
TWN,AUS,2022,6416926706.684161
TWN,BGD,2022,12014652083.160751
TWN,CHE,2022,23940841296.963814
TWN,CHN,2022,51352303574.29247
TWN,COL,2022,2310009306.0170755
TWN,IDN,2022,13267093207.972416
TWN,JPN,2022,4527041914.197068
TWN,MEX,2022,20440553326.012836
USA,ARE,2022,44636703514.732925
USA,AUS,2022,38804171305.3746
USA,AUT,2022,2899464883.678034
USA,BEL,2022,116523113797.41277
USA,BGD,2022,5666873186.30691
USA,CAN,2022,75337770821.98605
USA,CHL,2022,11674872454.811869
USA,CHN,2022,36479232278.74418
USA,HKG,2022,5822728350.302304
USA,IND,2022,9853009261.070578
USA,JPN,2022,6498309252.997611
USA,KOR,2022,7432387539.95758
USA,MEX,2022,24676325927.305714
USA,NZL,2022,27755237017.542507
USA,PAK,2022,239657925414.8203
USA,PHL,2022,27773763430.827213
USA,QAT,2022,8567936712.410929
USA,SGP,2022,17181297768.891098
VNM,BRA,2022,3657149566.604323
VNM,IDN,2022,4068011377.6077957
VNM,MAR,2022,18510054935.043262
VNM,PER,2022,13547278948.021313
VNM,PHL,2022,12599818026.380852
VNM,SGP,2022,21447123142.570168
VNM,THA,2022,30617397873.46251
ZAF,CHN,2022,11405639640.912838
ZAF,ITA,2022,7751429189.652362
ZAF,KEN,2022,2110254059.342243
ZAF,MAR,2022,53545971038.92301
ZAF,NGA,2022,23745171626.440563
ZAF,PER,2022,99050403866.40764
